Source,Target,Type,Id,Label,Intercal,Weight
1694519,777777,,,,,
1695971,777777,,,,,
1697423,777777,,,,,
1707059,777777,,,,,
1714995,777777,,,,,
1715638,777777,,,,,
1718455,777777,,,,,
1735921,777777,,,,,
1741097,777777,,,,,
1744174,777777,,,,,
1745357,777777,,,,,
1748064,777777,,,,,
1756168,777777,,,,,
1759404,777777,,,,,
1761073,777777,,,,,
1768178,777777,,,,,
1774770,777777,,,,,
1775996,777777,,,,,
1777314,777777,,,,,
1777607,777777,,,,,
1780812,777777,,,,,
1799594,777777,,,,,
1802486,777777,,,,,
1817548,777777,,,,,
1825913,777777,,,,,
1831257,777777,,,,,
1836064,777777,,,,,
1846450,777777,,,,,
1852511,777777,,,,,
1853649,777777,,,,,
1854367,777777,,,,,
1856479,777777,,,,,
1857270,777777,,,,,
1857933,777777,,,,,
1864328,777777,,,,,
1883163,777777,,,,,
1886646,777777,,,,,
1887085,777777,,,,,
1887357,777777,,,,,
1887556,777777,,,,,
1894746,777777,,,,,
1923417,777777,,,,,
1930515,777777,,,,,
1932326,777777,,,,,
1941426,777777,,,,,
1943792,777777,,,,,
1944256,777777,,,,,
1949855,777777,,,,,
1973023,777777,,,,,
1973085,777777,,,,,
1977896,777777,,,,,
1978452,777777,,,,,
1987656,777777,,,,,
1989725,777777,,,,,
1990010,777777,,,,,
1990113,777777,,,,,
1991207,777777,,,,,
1992163,777777,,,,,
1995696,777777,,,,,
2004088,777777,,,,,
2006104,777777,,,,,
2010612,777777,,,,,
2017557,777777,,,,,
2027904,777777,,,,,
2029722,777777,,,,,
2041126,777777,,,,,
2041360,777777,,,,,
2044356,777777,,,,,
2045415,777777,,,,,
2048952,777777,,,,,
2052338,777777,,,,,
2053638,777777,,,,,
2063180,777777,,,,,
2063233,777777,,,,,
2079595,777777,,,,,
2082385,777777,,,,,
2105499,777777,,,,,
2106371,777777,,,,,
2110645,777777,,,,,
2116311,777777,,,,,
2133268,777777,,,,,
2133869,777777,,,,,
2136223,777777,,,,,
2136325,777777,,,,,
2142074,777777,,,,,
2146640,777777,,,,,
2150603,777777,,,,,
2153155,777777,,,,,
2153291,777777,,,,,
2158079,777777,,,,,
2161200,777777,,,,,
2163460,777777,,,,,
2173522,777777,,,,,
2175133,777777,,,,,
2178685,777777,,,,,
2180825,777777,,,,,
2183253,777777,,,,,
2185333,777777,,,,,
2186813,777777,,,,,
2196151,777777,,,,,
